page_id	text	label	Pattern Category
976	@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done 👏	0	Not Dark Pattern
1409	 All Licensed 	0	Not Dark Pattern
133	Nursing chairs	0	Not Dark Pattern
1247	Only 1 Item(s) left	1	Scarcity
583	Discount pending $10 OFF 00:30:00	1	Urgency
149	Juniors' Shoes	0	Not Dark Pattern
1016	Limited Time: $10 Off! Discount Reflected In Price!	1	Urgency
1051	Switchers	0	Not Dark Pattern
1158	 Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy 	0	Not Dark Pattern
1466	Ribbons	0	Not Dark Pattern
350	By clicking Sign Up, you agree to receive marketing text messages from Southern Tide at the number provided, including messages sent by autodialer. Consent is not a condition of any purchase. Message and data rates may apply. Message frequency varies. Reply HELP for help or STOP to cancel. View our Privacy Policy and Terms of Service.	0	Not Dark Pattern
229	IN 43 PEOPLE'S SHOPPING BAG	1	Social Proof
1317	 Amethyst Beads 	0	Not Dark Pattern
300	Down Jackets	0	Not Dark Pattern
502	Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS	1	Urgency
86	BERNARD in Philadelphia, United States purchased a	1	Social Proof
368	NO THANKS, I DON’T MIND MISSING OUT	1	Misdirection
1198	Hurry, only 1 left!	1	Scarcity
1575	Only 26 Left	1	Scarcity
178	7 sold in last 24 hours	1	Social Proof
569	Buy Wearables»	0	Not Dark Pattern
771	LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS	1	Urgency
907	 Watercolour Brushes Toggle category Watercolour Brushes 	0	Not Dark Pattern
729	LightInTheBox 掲載記事	0	Not Dark Pattern
108	Clear filter	0	Not Dark Pattern
825	HURRY UP > 09H 42M 39S	1	Urgency
1409	 Sweats 	0	Not Dark Pattern
976	Q: Will this damage my hair?	0	Not Dark Pattern
1330	Brandon Blackwood	0	Not Dark Pattern
91	Someone in Sasebo, Japan just bought	1	Social Proof
125	80 Customers are considering this product right now.	1	Social Proof
159	88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS	1	Social Proof
1468	 End Tables	0	Not Dark Pattern
1235	ONLY 2 LEFT IN STOCK!	1	Scarcity
1123	Only few items left in stock	1	Scarcity
1535	Only 1.75 yards left in stock!	1	Scarcity
688	 Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase 	0	Not Dark Pattern
267	71 people have purchased this item	1	Social Proof
1139	Only 8 left	1	Scarcity
1749	Subscribe & Save	1	Misdirection
803	We use cookies to improve our services, make personal offers, and enhance your experience. If you do not accept optional cookies below, your experience may be affected. If you want to know more, please, read the Cookie Policy	0	Not Dark Pattern
79	Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States	1	Social Proof
8	Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet	1	Social Proof
509	00DAYS00HOURS14MINUTES21SECONDS	1	Urgency
306	Great prices, professional customer services	0	Not Dark Pattern
638	Carnival Remotes	0	Not Dark Pattern
1659	Hurry! Only 1 left in size M!!	1	Scarcity
946	Items in your cart are in high demand.	1	Scarcity
1573	 VIP Points! 	0	Not Dark Pattern
230	Root Touch Up + Brow Filler	0	Not Dark Pattern
1639	Limited stock Only 2 left	1	Scarcity
1573	 Looks like your cart is empty, let's fix that! 	0	Not Dark Pattern
1209	Over 500 left in stock	1	Scarcity
1630	Lasers 	0	Not Dark Pattern
264	Choose your payment day. View your schedule and select pay now.	0	Not Dark Pattern
199	Hurry up! 6 people other than you have this product in their cart	1	Social Proof
1489	 E-Gift Cards 	0	Not Dark Pattern
1168	1 LEFT	1	Scarcity
252	Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring	1	Social Proof
680	 Personalised Chocolates 	0	Not Dark Pattern
1536	Shop Dresses by Occasion	0	Not Dark Pattern
344	I do not want to protect my item	1	Misdirection
1713	Add to Your Gift and We'll Ship it For Free!	1	Misdirection
1604	Wallets 	0	Not Dark Pattern
1489	 Exclusive offers & discounts for club members via email 	0	Not Dark Pattern
1056	Buy with humm.	0	Not Dark Pattern
1351	 Household Cleaning Kitchen Bathroom Eco Laundry General Cleaning Kitchenware Cook & Bakeware Food Storage & Preservation Kitchen Textiles Appliances Kitchen Appliances Household Appliances Bed, Bath & Living 	0	Not Dark Pattern
1009	Synthesis E-MTB Carbon Wheelset	0	Not Dark Pattern
84	25,439 people have viewed this item	1	Social Proof
379	No thanks I definitely measured correctly	1	Misdirection
181	57 PEOPLE HAVE LOOKED AT THIS TODAY	1	Social Proof
65	Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress	1	Social Proof
1009	Women's ApparelCollection 	0	Not Dark Pattern
1718	Before you check out, can we tempt you?	1	Misdirection
1328	 Women's Sandals 	0	Not Dark Pattern
1351	 Plant-Based Beauty 	0	Not Dark Pattern
904	When you join the PetPlus Plan, you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team, but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis, if you have purchased products or used services using your PetPlus benefits, we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.	1	Obstruction
189	 Frame out of stock in this colour	0	Not Dark Pattern
1469	Hair Care Sets	0	Not Dark Pattern
1332	Limited quantity remaining	1	Scarcity
1000	CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map	0	Not Dark Pattern
1686	128 sold today! Hurry, only a few left!	1	Scarcity
303	4 people are looking at this right now.	1	Social Proof
335	No thanks, I dont want a discount	1	Misdirection
235	Someone from Portland, United States (US) purchased MODALERT recently.	1	Social Proof
1042	Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74	1	Urgency
151	2 people are viewing this	1	Social Proof
1605	HURRY! ONLY 1 IN STOCK!	1	Scarcity
1304	Printed 	0	Not Dark Pattern
1044	Patient Transfer Devices	0	Not Dark Pattern
622	 Summer Casual Printed Loosen Short Sleeve T-Shirt 	0	Not Dark Pattern
622	 Summer V Neck Solid Color Short Sleeve Waffle T-Shirt 	0	Not Dark Pattern
1681	LAST CHANCE TO ACTIVATE 10% OFF	1	Scarcity
485	Your order is reserved for 09:45 minutes!	1	Urgency
1263	only 5 left	1	Scarcity
43	78 Persons looking for this product	1	Social Proof
680	 Heart Shaped Cake 	0	Not Dark Pattern
259	227 Bought Already	1	Social Proof
1026	You've made the starting lineup. Be on the look out for an exclusive offer for signing up.	0	Not Dark Pattern
766	Universal Fit Collapsible Smart Phone Stand	0	Not Dark Pattern
1368	Hurry! Only Limited Items Left	1	Scarcity
1646	現代奴隷法に対する透明性に関する声明 (opens in a new tab)	0	Not Dark Pattern
941	Strong demand! Complete your order before it's too late!	1	Scarcity
550	Your order is reserved for 09:56 minutes!	1	Urgency
48	Sudha rana from Jaipur bought this product, 23 Mins ago.	1	Social Proof
1466	Gift Wrapping Supplies	0	Not Dark Pattern
308	6 others have already bought this deal today!	1	Social Proof
896	"""No Worry"" Membership Renewal We will bill your credit card on file at the introductory rate of $2.99 per month for the first year, for membership rewards and discounts. At the end of the introductory period, you'll be billed at the regular monthly rate of $3.99 per month. If you don't want your membership renewed, simply contact us and we will cancel your subscription. You will be refunded for the current month's membership fee, less any membership savings you have received. Exclusive Toll-Free Hotline Number Because we want your calls to get top priority, we have a special number for Value Club members only: 1-800-648-4282. Your call will be handled with the utmost promptness, courtesy and efficiency possible."	1	Obstruction
1779	info@coolhockey.com	0	Not Dark Pattern
1004	"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT"	1	Urgency
724	 Safe & Secure Checkout 	0	Not Dark Pattern
250	GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago          	1	Social Proof
142	Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago	1	Social Proof
1469	Wall Mounted Air Conditioners	0	Not Dark Pattern
1691	803 Claimed! Hurry, only a few left!	1	Scarcity
64	Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box	1	Social Proof
1186	Only 2 left!	1	Scarcity
141	3 PEOPLE VIEWING	1	Social Proof
360	No thanks, I’d rather pay full price.	1	Misdirection
1304	Product Feature	0	Not Dark Pattern
883	Plant-based Protein	0	Not Dark Pattern
1317	Parad Combo Deals 	0	Not Dark Pattern
198	Last Shape Guide	0	Not Dark Pattern
1315	 Baby & Toddler Toys 	0	Not Dark Pattern
1766	Shipping Insurance Remove Insurance	1	Sneaking
680	Clocks 	0	Not Dark Pattern
1317	 Cat's Eye Beads 	0	Not Dark Pattern
264	Shop now. Pay later. Always interest-free	0	Not Dark Pattern
1381	Stay with us in India	0	Not Dark Pattern
443	No thanks. I don’t want deals.	1	Misdirection
776	Wyse Thin Client	0	Not Dark Pattern
1038	AdjustableBucketHeadbandsSale Items- View All -	0	Not Dark Pattern
648	 Every bicycle tells a story 	0	Not Dark Pattern
1658	 This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service, please opt-in. 	0	Not Dark Pattern
1717	Add and save!	1	Misdirection
1469	Intercoms & Doorbells	0	Not Dark Pattern
1536	Boys Purple School Uniforms	0	Not Dark Pattern
212	RECENTLY VIEWED 2 others viewed this in the last few hours	1	Social Proof
179	2 viewed per hour	1	Social Proof
133	1 other customers have this item in their shopping cart	1	Social Proof
1408	ONLY A FEW LEFT IN STOCK	1	Scarcity
646	1day21:04:58	1	Urgency
1330	Fashion Forms	0	Not Dark Pattern
1348	Stock Low : 6 items left.	1	Scarcity
374	NO, I'LL PAY FULL PRICE	1	Misdirection
1550	Terrarium Light Canopies	0	Not Dark Pattern
1533	HURRY, LOW IN STOCK!	1	Scarcity
1144	Only 4 copies left	1	Scarcity
1424	2 LEFT	1	Scarcity
209	Feedback	0	Not Dark Pattern
605	2 DAYS 13:06:13	1	Urgency
1009	Receive news and updates on new products	0	Not Dark Pattern
162	5338 people bought this	1	Social Proof
1103	2 left in stock	1	Scarcity
1316	 dFresh - Fresh Products 	0	Not Dark Pattern
1815	Thanks! -RMO Team	0	Not Dark Pattern
99	6,743 people have viewed recently	1	Social Proof
932	Selling fast!	1	Scarcity
203	Welcome To Hotter us	0	Not Dark Pattern
1039	ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!	1	Urgency
782	 To enable notifications, click 'Allow' when prompted. 	0	Not Dark Pattern
1026	 PHX Mercury 	0	Not Dark Pattern
1009	Easy Release Cleat Kit	0	Not Dark Pattern
56	111 people have purchased this item	1	Social Proof
1723	Flowers Trivia:	0	Not Dark Pattern
675	Your order is reserved for 09:58 minutes!	1	Urgency
1667	I've recommended The Keeper of Lost Things to everyone.	0	Not Dark Pattern
1027	LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+	1	Urgency
930	1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix ‘Standard’ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.	1	Sneaking
573	Celebrity Synthetic Wigs	0	Not Dark Pattern
73	1626 people seeing this product right now	1	Social Proof
1667	Book picture is for illustrative purposes only, actual binding, cover or edition may vary.	0	Not Dark Pattern
527	 Glow Gear 	0	Not Dark Pattern
1673	Converse	0	Not Dark Pattern
188	Stay Connected	0	Not Dark Pattern
1357	Only 1 left in Stock	1	Scarcity
1451	sales@ecklers.net	0	Not Dark Pattern
520	0 Days 2 Hours 57 Minutes 53 Seconds	1	Urgency
3	Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157	1	Social Proof
1189	Only 34 Left!	1	Scarcity
105	William in Pago Pago, United States purchased a	1	Social Proof
361	No thanks, I don’t like fun and games.	1	Misdirection
1704	PROTECT YOUR SOFA! Your Humblebum Sofa in Thatch house fabric will look wicked! Why not add Castelan Fabric Protection to cover your new squish machine against wine spillages, messy TV dinners, and other disasters for just just £80?	1	Misdirection
1488	Explore The NRA Universe Of Websites	0	Not Dark Pattern
667	New In Special Occasion	0	Not Dark Pattern
664	› New Year, New Kit Sale	0	Not Dark Pattern
793	HURRY, ORDER WITHIN 16h 59m 06s TO GET 35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35	1	Urgency
108	 Title of Review 	0	Not Dark Pattern
622	We uses cookies (and similar techniques) to provide you with better products and services. Your permission will be confirmed if you continue using this website.Read more	0	Not Dark Pattern
795	LAST CHANCE TO SAVE... enter your email to Save 20% on your first order 00 hours :29 minutes :43 seconds	1	Urgency
654	OFFER EXPIRES IN: YES NO Want 10% Off Your First Order? 7 minutes 35 seconds	1	Urgency
628	Cellular/Honeycomb Shades	0	Not Dark Pattern
232	113 people have viewed in the last 24hrs	1	Social Proof
4	Epilepsy Safe Profile: this profile enables people with epilepsy to safely use the website by eliminating the risk of seizures resulting from flashing or blinking animations and risky color combinations.	0	Not Dark Pattern
66	Jamie in Nashville, United States purchased	1	Social Proof
163	Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown	1	Social Proof
203	Don't miss out! We've sold 38 in the last few days.	1	Social Proof
355	No, thank you. I prefer to pay the full price	1	Misdirection
420	No Thanks, I don't like exclusive deals.	1	Misdirection
1522	Loading interface...	0	Not Dark Pattern
1026	 SAF Warriors 	0	Not Dark Pattern
113	 Lens Manual Washer 	0	Not Dark Pattern
322	No thanks, I'd like 0% off	1	Misdirection
573	Warm Tips	0	Not Dark Pattern
1328	 Our Carbon Footprint 	0	Not Dark Pattern
622	 Women's Summer New Clerk Large Size Loose Cotton And Linen Blouse 	0	Not Dark Pattern
1786	Uncheck the box if you prefer not to receive email updates.	1	Misdirection
1343	| Add to Compare	0	Not Dark Pattern
407	No Thanks, I Don't Want a Free Gift	1	Misdirection
682	 World of Sweats 	0	Not Dark Pattern
953	This item is in high demand.	1	Scarcity
300	Cargo Trousers	0	Not Dark Pattern
573	Hair Bundles With Closure	0	Not Dark Pattern
1648	BreakThrough	0	Not Dark Pattern
1084	ONLY 1 LEFT! GET IT NOW!	1	Scarcity
156	Our most recent customers are from New Rochelle, Roseville, and Brooksville	1	Social Proof
638	ShopClose menu	0	Not Dark Pattern
822	Used Rifles	0	Not Dark Pattern
1379	ONLY 4 LEFT	1	Scarcity
1338	Limited quantity! 	1	Scarcity
1711	DON'T MISS ON THESE AWESOME ITEMS / DON'T MISS ON OUR TABLE DECORATION SYSTEM	1	Misdirection
1325	Hurry! Only 15 left!	1	Scarcity
713	 Motocross Boots 	0	Not Dark Pattern
1328	 Remove Product? 	0	Not Dark Pattern
1315	 Nursery 	0	Not Dark Pattern
822	Footwear Accessories	0	Not Dark Pattern
1429	Only a few more left!	1	Scarcity
592	0011Days:0088Hours:4411Minutes:21125445Seconds	1	Urgency
103	and future features included!	0	Not Dark Pattern
167	69 people are viewing this	1	Social Proof
1415	Only 4 items left in stock.	1	Scarcity
1550	Natural Backgrounds	0	Not Dark Pattern
1009	Speed Lace Accessory Kit - Orange	0	Not Dark Pattern
389	No Thanks, I Prefer Paying Full Price	1	Misdirection
1658	Package RecyclingWe do try when possible to reuse packaging from our own suppliers in order to send purchased items to our customers, we ask if the packaging is still in good condition after you've received your goods then please try to use it again or recycle if not possible.	0	Not Dark Pattern
817	Ends in 1 Days, 4 Minutes, 44 Seconds	1	Urgency
1451	In Stock - Limited Quantity	1	Scarcity
128	on Freight	0	Not Dark Pattern
527	Canvas Wall Art	0	Not Dark Pattern
1524	Only 8 left in stock. Almost Gone!	1	Scarcity
719	JFN V Neck Lace Cut-Out Basic T-Shirt/Tee	0	Not Dark Pattern
766	or	0	Not Dark Pattern
1197	 Short Sleeve Dresses 	0	Not Dark Pattern
1059	Limited time only: FREE SHIPPING on all orders, no minimum required!	1	Urgency
387	No thanks, I don't like promotions and exclusive content.	1	Misdirection
724	 Shop All Lehenga Choli 	0	Not Dark Pattern
1330	Lack Of Color	0	Not Dark Pattern
61	 Eye Protection	0	Not Dark Pattern
1472	10 Left	1	Scarcity
1468	 REPLACE-WITH-DYANMIC-HOST-ID	0	Not Dark Pattern
209	TVs	0	Not Dark Pattern
1124	Only 2 left	1	Scarcity
1428	Temporary Tattoos	0	Not Dark Pattern
674	3Days01:49:51 Left	1	Urgency
190	Log in / Create an account	0	Not Dark Pattern
758	Your order is reserved for 07:28 minutes!	1	Urgency
1667	 is full of sorrow and joy that weaves the life stories of its characters, exploring relationships, illness and loss * Manchester Weekly News *	0	Not Dark Pattern
208	OH SO POPULAR! 21 bought in the last 7 days.	1	Social Proof
442	No Thanks, I'll Pay Full Price	1	Misdirection
1268	Card Storage	0	Not Dark Pattern
288	2 customers recently bought it	1	Social Proof
1069	Only 1 left in stock	1	Scarcity
1009	Horizon Wide Neck Sweatshirt	0	Not Dark Pattern
1536	All Womens Accessories	0	Not Dark Pattern
1166	Only 1 left in stock! Get in quick!	1	Scarcity
1648	Strip Softbox	0	Not Dark Pattern
720	You left 2 items in your bag Released in: 29 minutes :07 seconds	1	Urgency
1056	Your first payment will be due on the day of your purchase.*	0	Not Dark Pattern
58	7 people have it in their cart	1	Social Proof
1119	Pre-order 3 left	1	Scarcity
673	Offer ends in 15hrs 1min 56sec!	1	Urgency
974	Hurry, this style is selling fast!	1	Scarcity
1736	 Glows In The Dark 	0	Not Dark Pattern
1469	Towel Rails & Racks	0	Not Dark Pattern
568	When you place healing crystals in a symmetrical fashion and activate it with a crystal wand, the pattern is charged to send messages to the universe. A healing crystal grid uses sophisticated symmetry for manifestation.	0	Not Dark Pattern
1104	Hurry, only 3 left!	1	Scarcity
538	FREE NECKLACE FOR MOM 01Days 01Hrs 35Mins 02Secs	1	Urgency
1648	Quick Release	0	Not Dark Pattern
976	Blonde/Bleached Hair: All colors look great. Silver won't be prominent on bleached hair though.	0	Not Dark Pattern
1064	Free Upgrade, Limited Time!\n*DISH Install Not Available*	1	Urgency
103	Chatting	0	Not Dark Pattern
822	Specialist Tools	0	Not Dark Pattern
822	 Menu Search 	0	Not Dark Pattern
1056	 Fashion Bags 	0	Not Dark Pattern
424	No thanks, I don't like discounts	1	Misdirection
1450	Going Fast: Limited Quantities Left!	1	Scarcity
1351	 This is a green tea without the bitterness. 	0	Not Dark Pattern
216	Spring Styles 	0	Not Dark Pattern
1367	Rate & Review 	0	Not Dark Pattern
